planet_name mass    radius  temp    k2
HAT-P-13b   285.79776   16.667658   1740    0.31
WASP-12b    465.73273   21.71167    2592.6  0.55
WASP-18Ab   3242.644    13.89906    2416    0.62
WASP-19Ab   366.86387   15.860616   2113    0.2
WASP-103b   473.6804    17.127223   2513    0.59
