mercury     0.0553  0.383   440     0.437           0.709       0.0         0.201       0           1       1
venus       0.815   0.950   184     0.295           0.35        0.01        0.64        0           1       1
earth       1       1       254     0.3531          0.325       0.01        0.665       0           1       1
moon        0.0123  0.273   270     0.02416         0.01        0.01        0.98        0           1       1
mars        0.107   0.532   210     0.159           0.24        0.05        0.71        0           1       1
